id,text
wikitext_224325,"The data were published as a letter in The Lancet in October 1999, co-authored by Author X. It reported significant differences in the thickness of the gut epithelium of rats fed genetically modified potatoes (compared to those fed the control diet), but no differences in growth or immune system function were suggested."
wikitext_228683,"Two Ed, Edd n Eddy DVDs featuring a number of season 2 episodes were released by Warner Home Video in Region 1 from 2005 to 2007. The DVD volume titled Edifying Ed @-@ Ventures was released on May 10, 2005, featuring three season two episodes out of a total six. The Complete Second Season was released on April 24, 2007. Both DVDs can also be purchased on the Cartoon Network Shop. The season is also available for download on the iTunes Store. Selected episodes from the season were also featured on several Cartoon Network compilation DVDs."
wikitext_428391,"Although he had a solid performance in spring training, Hughes began the 2009 season in Triple @-@ A. He was called up to the majors in April after a player was placed on the disabled list. Hughes made his first start of the season on April 28 against the Detroit Tigers and pitched six scoreless innings, earning his first win since 2007 in an 11 – 0 victory. On May 25, Hughes threw eight scoreless innings, earning the win in an 11 – 1 victory over the Rangers."
wikitext_567326,"T. q. subquadricornutus ( Elliot , 1839 ) distributed in the Western Ghats and southern India"
wikitext_253052,"The second wave was also not under the command of the leader and was made up of a number of armies with their own commanders. Together, this group and the first wave numbered an estimated 60 @,@ 000."
wikitext_824559,The replacement of the Mk1's metal rotor blades with aluminum and glass fiber composite rotor blades saw these aircraft designated Chinook HC Mk1B. All surviving aircraft were later returned to the manufacturer and updated to the Chinook HC Mk2 standard for further service within the RAF.
wikitext_532580,"They said, 'An actress could be set to make a shock return to a legendary drama series after stars let slip producers want her in the show's upcoming reboot. The actress's character was written out of the series in 1987, when viewers were told she had only months to live after fleeing a dynasty.' In an added piece, they said: 'But the storyline was left open-ended, and it's now emerged the actress, who is the only surviving member of the show's original cast not signed up for the relaunch later this year, could be brought back to the series in an explosive plot.' Jesse said, 'She hasn't (come back) – she hasn't as yet. But I think for the producers of the show, it's an open invitation.' "
wikitext_417081,"Devastated, Alex becomes a recluse living in a trailer on the coastal region in a state. He finds himself out of step with changing music trends, and when he tries to adapt by incorporating folk music and protest songs into his repertoire, he finds himself rejected by the audience that once embraced him. Undaunted, he stages a show, complete with a gospel choir, at the City Hotel in a city, and against all odds it is a huge success."
wikitext_719195,"Physical examination of the nervous system is typically normal apart from the presence of papilledema, which is seen on examination of the eye with a small device and in more detail with another device. If there are cranial nerve abnormalities, these may be noticed on eye examination in the form of a squint or as facial nerve palsy. If the papilledema has been longstanding, visual fields may be constricted and visual acuity may be decreased. Visual field testing by automated perimetry is recommended as other methods may be less accurate. Longstanding papilledema leads to optic atrophy, in which the disc looks pale and visual loss tends to be advanced."
wikitext_771361,"Fictional Name of Fictional Newspaper called it "" a true movie milestone , presenting awe- and fear @-@ inspiring sights never before seen on the screen ... On paper , this story is tailor @-@ made for Mr. Generic Director 's talents ... [ but ] [ i ] t becomes less crisp on screen than it was on the page , with much of the enjoyable jargon either mumbled confusingly or otherwise thrown away . \\"" In Fictional Magazine , Fictional Critic described the film as \\"" colossal entertainment — the eye @-@ popping , mind @-@ bending , kick @-@ out @-@ the @-@ jams thrill ride of summer and probably the year [ ... ] Compared with the dinos , the characters are dry bones , indeed . Fictional Author and co @-@ screenwriter Fictional Writer have flattened them into nonentities on the trip from page to screen . \\"" Fictional Critic noted , \\"" The movie delivers all too well on its promise to show us dinosaurs . We see them early and often , and they are indeed a triumph of special effects artistry , but the movie is lacking other qualities that it needs even more , such as a sense of awe and wonderment , and strong human story values . \\"" Fictional Critic argued , \\"" The complaints over the lack of story and character sound a little off the point , \\"" pointing out the story arc of the protagonist learning to protect the grandchildren despite his initial dislike of them . Fictional Magazine gave the film five stars , hailing it as \\"" quite simply one of the greatest blockbusters of all time . \\"""
